t,r,u,x1,x2
-9.14999999999999,40,37.1921826604272,38.5534465950987,38.8696281797983
-9.09999999999999,40,37.1924438142866,38.5543600305306,38.8703326822654
-9.05,40,37.1927049849784,38.5552728528674,38.8710367334303
-9,40,37.1929661697505,38.5561850625985,38.8717403346946
-8.95,40,37.1932273658805,38.5570966602161,38.8724434874391
-8.89999999999999,40,37.1934885706761,38.5580076462148,38.8731461930248
-8.84999999999999,40,37.193749781474,38.5589180210915,38.8738484527923
-8.8,40,37.1940109956409,38.5598277853456,38.8745502680627
-8.75,40,37.1942722105725,38.5607369394786,38.8752516401375
-8.7,40,37.1945334236933,38.5616454839943,38.8759525702987
-8.64999999999999,40,37.1947946324567,38.5625534193987,38.8766530598095
-8.59999999999999,40,37.1950558343446,38.5634607461998,38.877353109914
-8.55,40,37.1953170268665,38.5643674649077,38.8780527218377
-8.5,40,37.1955782075612,38.5652735760344,38.8787518967879
-8.45,40,37.195839373995,38.5661790800939,38.8794506359535
-8.39999999999999,40,37.1961005237615,38.5670839776019,38.8801489405056
-8.34999999999999,40,37.1963616544821,38.5679882690761,38.8808468115973
-8.3,40,37.1966227638054,38.5688919550357,38.8815442503644
-8.25,40,37.1968838494073,38.5697950360019,38.8822412579253
-8.2,40,37.1971449089902,38.5706975124973,38.8829378353812
-8.14999999999999,40,37.1974059402831,38.5715993850461,38.8836339838167
-8.09999999999999,40,37.197666941042,38.5725006541742,38.8843297042993
-8.05,40,37.1979279090491,38.5734013204087,38.8850249978803
-8,40,37.1981888421121,38.5743013842783,38.8857198655946
-7.95,40,37.1984497380646,38.5752008463132,38.8864143084611
-7.89999999999999,40,37.1987105947664,38.5760997070446,38.8871083274829
-7.84999999999999,40,37.1989714101025,38.5769979670052,38.8878019236471
-7.8,40,37.199232181983,38.577895626729,38.8884950979257
-7.75,40,37.1994929083431,38.5787926867509,38.8891878512752
-7.7,40,37.1997535871426,38.5796891476072,38.889880184637
-7.64999999999999,40,37.2000142163666,38.5805850098351,38.8905720989378
-7.59999999999999,40,37.200274794024,38.581480273973,38.8912635950893
-7.55,40,37.2005353181483,38.5823749405602,38.8919546739891
-7.5,40,37.200795786797,38.583269010137,38.89264533652
